,puuid,avg
37,1ovnRbBnZ19j9TKynHzaWt6niUtjOh6tTnXI5Wk2fSVsm4120QjRHJkrjuv0HyaKy8dDaaSVsaJ4jw,1.5535159161695986
38,1pb7c3yzAhut--nzv9oRfaKoK5QQ-SsM2ShEdqXj56RH0uGJC737sOKrq5-RCuGPB5Y3POEY0YmpwA,1.0090843679827028
39,1pqRbbPghOi38CU3ctPqstqS3yYGNz2hEN7kP8vSZEKWMrT66Y0qW837WDeyjlMil7xVGlgrUgCttw,0.8720971902187068
40,1qdJThdyhrhycXqTQACirQ7UFTDqQmJEKUkOnwnaPZXYm4tixPUVdSm6Zpdje1pGLW94zdLUv7PhYQ,0.7848992090036669
41,1rIRSmktQRUhCeLp2Jizb-YwLfMP0MUKzJ5WfihIGfoSnrtbPBNmR_m_MxEvRJRwh-AtGefpShBqXw,1.5216638153534214
42,1rzDz_4SGtEwcAMBVjePl3ZmuEJ1-qcrLb_sFkARJnqpJR760j3oXIDfWM3YOdTGSiB3hqzAV6R7Yw,1.1273415310000505
43,1uWhG9wlF8y7Zoq4MPx2d9ThmpKztzSB8PjoLsaZjKsIZJrLjfVfPmKnmNr-kKomkG-Sc1thfUay9g,0.49588517259613846
44,2-JRODcd5CmrsNBXIzInJhwgF_FJj-1hgPZYRKq8B1DJ69Cn1PZ4izSK3tLfkFKoxDplqJUrqI3Ifw,1.3115507252127427
45,2B1DCjCKqcFaWejeoBNc-gs7UXiOnG7tqDL47-HQLC6CdCuCDNAGz3N7NpneyPUSpy8mCZzkfjsAMg,0.9829665288405879
46,2Isoij0Q0I-apR5XgOeCwWIOILI-qec3N6oHxubz7TEL1MpSHTV1K8zRscmUEWhuoHfMjCYBtY-C-Q,1.1773080559271814
47,2Swj9MfMrjTCJV6yX3OQY-XZ4rulf10sNSZn1qbkaZfyVxLmaRBY5eHr0Wg6q0lbsOWKquA_VVTylw,0.8590352336825487
48,2T_KtSn4KnaLl7Y-Fh-RnonDOcobPV6e501ZilcVbZ-UMt15WUkBH-cUKimeuMsV5z9p6t01SgkdWg,1.2244857428626732
49,2UAfiP0pi5cpXOxMTkPLNapFbzr-eGIx-87OpE9VlU47kEjzexArAdN1aErJVgGV_EvOZygpuqLOhQ,1.0840077272112374
50,2UxMUqNNRXe70UNr77jhFiLLJC2X5UILo9yA4CS3RNtwWg13Zd3nLjKjbhv_vSYclfHEMG9bFMavWg,1.338513134489125
51,2XGgZeku_PgV04UmwTVkvoiWgzgWvpWwTPRgN6I64K4MCvoQ0GzIWad1R8TAG8IJ9mxag4l0PKQ9Yw,0.9287162397190399
52,2fVXmKN58UOdhzqzR3nPSyTNy6_EkVRCicx-Cgnom6ki63LD4tDlY3Piu-gXq5QhoEI8suQCySv2ug,1.3025284070238847
53,2gUREBwnpx9JyTu83rL35pqiVQqME-gFaZy3RdSD_wMBMHcmF6y1ZTXRkYdmMNl4ONPVhk-_UYsiaw,1.6531938902171663
54,2iLjKA4G9vs3DhZy8XbIdmjui_3Dk6n-PzqJp2q2CmmCuAXmk9oYN-brZwDJJz-TgXMZEsl_u6vwUA,0.49500838675696757
55,2lcldswbanbgdsxgbjJPVxFvm5EBNGc-uSghoxwRavC3nDdEAQHro5DSUMjlhbMyyKedHu1IdR_bLg,1.1043333603940455
56,2n8j7y8WWXBPLyirzscSM7OBED4OJg82qHX_L3lDyTBN4CR5UPCh_G_QjN3xTxrlqv2Dj4UjbPbg6w,0.8562023215730682
